0.01	0	0.006	0.06
0.515	0	0.006	0.06
0.754	1.3	0.006	0.06
0.777	3.2	0.006	0.06
0.787	4.7	0.006	0.06
0.793	5.9	0.006	0.06
0.797	7.1	0.006	0.06
0.801	8.2	0.006	0.06
0.804	9.4	0.006	0.06
0.807	10.6	0.006	0.06
0.811	12	0.006	0.06
0.814	13.6	0.006	0.06
0.817	15.3	0.006	0.06
0.82	17.4	0.006	0.06
0.823	20	0.006	0.06
0.827	23.2	0.006	0.06
0.831	27.6	0.006	0.06
0.837	33.8	0.006	0.06
0.842	43.2	0.006	0.06
0.85	59.3	0.006	0.06
0.851	63.9	0.006	0.06
0.852	69.8	0.006	0.06
0.854	76.2	0.006	0.06
0.856	83.7	0.006	0.06
0.858	92.2	0.006	0.06

